gene,condition,activation_coef_rank,polarization_coef_rank,is_known_polarization_reg
GCC1,Stim48hr,0.3374345549738219,0.7109947643979058,False
GCC1,Stim8hr,0.4908303616912888,0.6423841059602649,False
GCLC,Rest,0.7164451394318478,0.0948657805577273,False
GCLC,Stim48hr,0.4848167539267016,0.3455497382198952,False
GCLC,Stim8hr,0.8237391747325522,0.9212939378502292,False
GCN1,Rest,0.1144123012770393,0.2415949960906958,False
GCN1,Stim48hr,0.0120418848167539,0.1743455497382199,False
GCN1,Stim8hr,0.2649006622516556,0.0157921548650025,False
GCSAM,Rest,0.3575710190252801,0.1605420901746156,False
GCSAM,Stim48hr,0.1413612565445026,0.0272251308900523,False
GCSAM,Stim8hr,0.5318390219052471,0.0020376974019358,False
GCSH,Rest,0.435235861350013,0.3930153765962992,False
GCSH,Stim48hr,0.0759162303664921,0.3497382198952879,False
GCSH,Stim8hr,0.4373408048904738,0.0894039735099337,False
GDAP1,Rest,0.3544435757101902,0.4461819129528277,False
GDAP1,Stim48hr,0.3060209424083769,0.3609947643979057,False
GDAP1,Stim8hr,0.1749872643912379,0.1090168110035659,False
GDAP2,Rest,0.8238206932499349,0.2580140734949179,False
GDAP2,Stim48hr,0.6693717277486911,0.3787958115183246,False
GDAP2,Stim8hr,0.4477840040753948,0.3247580234335201,False
GDE1,Rest,0.5530362262183998,0.2421162366432108,False
GDE1,Stim48hr,0.2282722513089005,0.2989528795811518,False
GDE1,Stim8hr,0.2585328578706062,0.6686194600101885,False
GDF11,Stim48hr,0.824869109947644,0.8251308900523561,False
GDF9,Rest,0.4566067240031274,0.4884023977065416,False
GDF9,Stim48hr,0.5976439790575916,0.4136125654450261,False
GDF9,Stim8hr,0.54381049414162,0.2562404482934284,False
GDI1,Rest,0.2009382329945269,0.1933802449830597,False
GDI1,Stim48hr,0.8049738219895288,0.1890052356020942,False
GDI1,Stim8hr,0.7799286805909322,0.0137544574630667,False
GDPD5,Rest,0.0458691686213187,0.2366432108418034,False
GDPD5,Stim48hr,0.1670157068062827,0.5049738219895288,False
GDPD5,Stim8hr,0.2429954151808456,0.8359653591441671,False
GEMIN6,Stim8hr,0.5089149261334692,0.3104941416199694,False
GEMIN7,Stim48hr,0.6534031413612565,0.5335078534031413,False
GEMIN7,Stim8hr,0.1691288843606724,0.5099337748344371,False
GEN1,Rest,0.0956476413864998,0.0802710450873078,False
GEN1,Stim48hr,0.1507853403141361,0.2091623036649214,False
GEN1,Stim8hr,0.7356087620988283,0.0746306673458991,False
GET4,Rest,0.7703935366171488,0.8128746416471202,False
GET4,Stim48hr,0.8900523560209425,0.8086387434554974,False
GET4,Stim8hr,0.4977075904228222,0.9187468160978096,False
GFER,Stim48hr,0.5479057591623037,0.5751308900523561,False
GFER,Stim8hr,0.1334691798267957,0.1920529801324503,False
GFI1,Rest,0.799061767005473,0.3969246807401616,False
GFI1,Stim48hr,0.8112565445026177,0.0395287958115183,False
GFI1,Stim8hr,0.5198675496688742,0.1981660723382577,False
GFM2,Rest,0.8821996351316133,0.6734427938493615,False
GFM2,Stim48hr,0.9083769633507852,0.8942408376963351,False
GFM2,Stim8hr,0.6390728476821192,0.9011716760061133,False
GGA3,Rest,0.5340109460516028,0.3911910346624967,False
GGA3,Stim48hr,0.3986910994764397,0.3675392670157068,False
GGA3,Stim8hr,0.4752929190015282,0.3851248089658686,False
GGACT,Rest,0.0693249934844931,0.524628616106333,False
GGACT,Stim48hr,0.3416230366492147,0.8384816753926702,False
GGACT,Stim8hr,0.93428425878757,0.3438614365766683,False
GGNBP2,Rest,0.1235340109460516,0.7492832942402919,False
GGNBP2,Stim48hr,0.5945026178010471,0.2924083769633507,False
GGNBP2,Stim8hr,0.8861436576668364,0.2414671421293938,False
GGPS1,Stim48hr,0.7848167539267016,0.3678010471204188,False
GGPS1,Stim8hr,0.3222109016811003,0.4686704024452369,False
GGT7,Rest,0.9955694553036226,0.2256971592389887,False
GGT7,Stim48hr,0.9217277486910996,0.2680628272251309,False
GGT7,Stim8hr,0.7307692307692307,0.7409577177789098,False
GID8,Rest,0.9030492572322126,0.179306750065155,False
GID8,Stim48hr,0.5083769633507853,0.0141361256544502,False
GID8,Stim8hr,0.8224656138563423,0.6202241467142129,False
